,p5,p25,p50,p75,p95,mean,central
GFA_Mm2,59.97960994729063,71.93344598810499,80.662424505693,90.23866793086398,104.56612504715713,81.34298666321678,76.71273484597887
carbon_kt,23167.587741727497,27723.670114714216,31191.084474968437,35019.9455222457,40887.52341942909,31506.648644876128,29708.00195862203
upfront_kt,17098.034865221463,20471.188605373514,23003.832911192592,25810.99918421579,30016.97589351576,23210.61379073856,21861.681262004004
RV_units,27494.849992836385,33974.89711095938,39051.91312823394,44988.269977277094,54465.934633613426,39774.08159753139,35321.215604793055
households_2050_M,2.395729593042835,2.4736007311775996,2.5254386108988722,2.5802556321485377,2.664897635539142,2.5271733978052473,2.510829495145582
S_2050,2.5628775300614706,2.5991257157102488,2.6244384489607886,2.6478874862114323,2.6788646148207254,2.623056681202264,2.6406014477759574
