output,input,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
GFA_Mm2,z_pop,0.37148947301451607,0.3031255567772118,0.43234592651450415,0.44782939542558814,0.4040684240249633,0.4973717187289278
GFA_Mm2,b,0.0002250740628860177,-0.010303612916760015,0.009308436467081856,0.013709054731616818,0.010700404922804925,0.018219916253064603
GFA_Mm2,rho,0.14720716151300622,0.11004969395677726,0.19144778161602494,0.22329308286238309,0.18501272072144054,0.26548334740635093
GFA_Mm2,phi,0.046646758067322415,0.028675353522224032,0.0655624548077105,0.046964752333306894,0.04158432214559437,0.052391803991836294
GFA_Mm2,slope_T,0.0015249719473679345,-0.0017724362075973777,0.004661628167913609,0.0012872126684709765,0.0011382754410322795,0.0014451471917772448
GFA_Mm2,slope_A,0.00014029528210167971,-0.00041148047735921686,0.0007173733385216579,4.4137670278634545e-05,3.9420323208798835e-05,4.950174143024581e-05
GFA_Mm2,size,0.27896484890098033,0.23167694022396973,0.32404743209438275,0.2836677500251213,0.25480750608616787,0.3163343894325107
GFA_Mm2,complete,0.015234447506353867,0.005215037909127593,0.025923744532973348,0.016836202666513072,0.015164537206976521,0.01867912202139381
GFA_Mm2,pre_share,0.0026459559871440668,-0.0018901615496464664,0.006741102272518508,0.0022816167250050857,0.002064000796622806,0.002527596298023126
GFA_Mm2,vacancy,0.046667963207335066,0.029074282230019878,0.06539996948786911,0.04808075098752869,0.04303313265128396,0.05296924276404388
GFA_Mm2,rv_share,0.004155067790532594,-0.0017805813123845829,0.009945736792500414,0.004560749217444467,0.004098606303495459,0.005092918002360683
GFA_Mm2,carbon,0.0,,,0.0,,
carbon_kt,z_pop,0.34937075194412953,0.28854849150267486,0.4144359407624264,0.41762341315302304,0.37595419662524415,0.46574253679852684
carbon_kt,b,-0.0003763462086239608,-0.011167607675122095,0.008712904914564171,0.012885632024440272,0.010045057163244797,0.017448551313738236
carbon_kt,rho,0.1384451136203975,0.10091803488460746,0.1787994716775846,0.20858311694787735,0.17274329073750333,0.24926945477891865
carbon_kt,phi,0.032231990005737204,0.01682142898472441,0.04798984779449076,0.03542474726536691,0.03117492289576018,0.03981657642802085
carbon_kt,slope_T,0.0009973797650255946,-0.0020337771895368576,0.0038104620315309694,0.00115297871563353,0.001004482529387363,0.0013218244527654736
carbon_kt,slope_A,0.0001955860520559307,-0.0005286284502542437,0.000910162531941812,8.06199423788997e-05,6.592199518567005e-05,0.00010013400237606517
carbon_kt,size,0.26994017099726525,0.22459172584908976,0.3116886187811534,0.26388285915540033,0.23660804972230443,0.2947446623806206
carbon_kt,complete,0.01440049751673015,0.004154066111344362,0.025311342019479183,0.015676498213896547,0.014270149215659585,0.01737925454218109
carbon_kt,pre_share,0.0028757596109333706,-0.0013268756582339783,0.006739079438906702,0.0021362947080855108,0.0019343221021616804,0.0023682689911050225
carbon_kt,vacancy,0.04434104827505712,0.02630934135133145,0.060949929045676136,0.04502239724599558,0.04018748013613723,0.04965359920040652
carbon_kt,rv_share,0.003692347245935822,-0.0020558084653173768,0.009348026991670592,0.004267636740960948,0.0038313282122812583,0.0047517874349499445
carbon_kt,carbon,0.08267139676425597,0.05716256584763617,0.10774875531466782,0.08669371000493169,0.0782740037727729,0.09570936604234584
upfront_kt,z_pop,0.35894771804076997,0.29422142478260765,0.4237559716165244,0.42705011790028086,0.3847657326171826,0.4746558037347659
upfront_kt,b,7.757055047335247e-05,-0.010345124970659958,0.009490973272543217,0.013080153894107445,0.010187239748969554,0.017600514935076986
upfront_kt,rho,0.1420170438119608,0.10581223215621721,0.18337368223500217,0.2132656399870957,0.17598960211222314,0.25507031744829034
upfront_kt,phi,0.020655559316979544,0.008214010671050867,0.03309661290652587,0.023488429397370225,0.020687455198502937,0.026546182027661507
