Typology,n_buildings,OLF_m2_per_person,OLF_people_conserving,design_occupants,FSI,embodied_materials,SOC_avg,SOC_low,SOC_high,module_D,total_with_SOC
Detached,10,36.46145833333333,36.34024390243903,4.166666666666667,1.2761210854865699,307.7420989345202,50.134407430073445,22.92770192553271,165.31092043170585,-29.353986687902253,357.87650636459364
Townhouses,4,33.114583332500004,35.2499999978805,4.000000000090192,2.329771380966614,362.8814527306969,30.267215959632367,13.84194490791772,99.80174466349953,-45.495677277611875,393.14866869032926
Apartments,2,20.632169315,20.632169314985312,2.9999999995905426,10.660676835627271,609.7479757207756,5.512720649868134,2.5211032170909298,18.17739495542369,-81.11054302296856,615.2606963706437
