group,case,GFA_Mm2,carbon_kt,GFA_change_pct,carbon_change_pct
Adopted,Adopted settings,76.7127348459791,29708.00195862211,0.0,0.0
Population,Stats NZ 5th percentile (level),52.963130644654164,20511.513487421522,-30.959141593646066,-30.95626721719501
Population,Stats NZ 95th percentile (level),101.06155491253838,39133.40040180308,31.74025814025001,31.726800261790935
Household size,Stats NZ Low projection variant (S),84.07066636906035,32558.78571754689,9.591538533796529,9.596013097398504
Household size,Stats NZ High projection variant (S),70.86418703257421,27442.405784056064,-7.623959470546038,-7.626215245715995
Household size,Carry 2025 deviation (rho estimated),78.65032841310598,30455.410415299502,2.5257782440126997,2.515848954495148
Household size,"Carry 2025 deviation, rho = 0.9",84.38144801672115,32674.515004096716,9.996662465676653,9.985569038289487
Households,DHE as published (no rebase; calib. to 2018),73.96226517916466,28643.883757839118,-3.5854146933188225,-3.5819245005608846
Households,Census rebase: occupied dwellings only,77.8452106066136,30146.003901588134,1.4762552305145338,1.474356786350306
Stock,Replacement regime 2019-2023 persists,90.7457340679081,35146.3820315057,18.292920008788528,18.30611186998801
Typology mix,Damping phi = 0.5,81.20989368336548,31203.74400605709,5.862336737721052,5.0348119995356155
Typology mix,Damping phi = 0.95,70.63893724697775,27600.712558344178,-7.917587101015355,-7.0933393743982
Typology mix,Trend window from 2016,77.12319325642913,29749.789507678048,0.5350590241296027,0.14066092063054203
Dwelling size,Reference 2016-2025,80.13230559795532,31032.13371505521,4.457631133659756,4.45715520780352
Dwelling size,Reference 2025 only,77.35316542363212,29956.083193280134,0.83484258374944,0.8350653638826255
Stock,Completion rate 0.92,73.20438839166061,28348.964005207352,-4.57335599019173,-4.574652833629312
Stock,Completion rate 0.96,77.88338280836203,30161.477280544692,1.5260151586738546,1.5264416723621776
Carbon factors,Materials: jackknife low (all typologies),76.7127348459791,28378.88785992066,0.0,-4.473926252437533
Carbon factors,Materials: jackknife high (all typologies),76.7127348459791,30828.333009953938,0.0,3.771142377371084
Carbon factors,Materials: lowest single case study,76.7127348459791,23762.985053281212,0.0,-20.011500314363907
Carbon factors,Materials: highest single case study,76.7127348459791,35771.303238393324,0.0,20.409656927504916
Carbon factors,Soil: lowest soil order (Raw),76.7127348459791,28132.402977525355,0.0,-5.303618140631872
Carbon factors,Soil: highest soil order (Organic),76.7127348459791,36378.12217958606,0.0,22.45226801268636
