z_pop,b,rho,phi,slope_T,slope_A,size,complete,pre_share,vacancy,rv_share,carbon,GFA_Mm2,carbon_kt,upfront_kt,RV_units,households_2050_M,S_2050
2.0373679187088696,4.008003414348957e-07,0.7121147215815692,0.7702214053624408,-0.006127998072476983,-0.023797478896116463,1.0346904955088796,0.9500691351786944,0.7152022427760056,0.05947604208857604,0.05383763483045026,0.972616392348039,98.77878243392992,36134.04091275261,26742.725279930266,41297.578878941786,2.7279141959734745,2.6518228095652034
1.3146304815884051,2.7726239055009467e-07,0.759910245873962,0.7364358011041215,0.0015038661123685363,0.00893497216742214,1.0260751146596099,0.9329154906836608,0.744921722449093,0.07526617204663397,0.06131147628163801,0.0020857696290822224,98.68426417974469,38180.79524766246,28026.47142013812,47452.41065568673,2.700267196465472,2.597616455881843
-0.2749559284658244,5.303519111831939e-07,0.8079810184743116,0.773620818070534,-0.0010541772948772198,0.005260908912915803,1.0129611429038736,0.9423058783406378,0.7832035156970372,0.06586503673933747,0.05270861915187039,0.709911283488486,82.92869485139636,35114.8082977621,25545.244879828395,34742.377627317976,2.60730843880559,2.512925722462543
-1.049888318077192,4.4401159798681396e-07,0.8172537715765145,0.7410278822152623,0.019343614106966226,-0.020567810321570547,0.9825225855453018,0.9282537689534265,0.7649466011793558,0.06721612968660316,0.05397217163400806,0.6727891154996313,76.21059015204169,28669.200880953147,20885.522838559973,33567.23242394606,2.5842546188084463,2.4490844239222627
0.8990586198909504,4.738932874833235e-07,0.655443751705718,0.9618080550465984,-0.0004800269185284429,0.014880488727496116,1.018751681382199,0.9249576958703686,0.7306662096960324,0.060516312966520526,0.07434497751689764,0.03856625932515191,73.99247932754082,28592.24683736683,21671.788425974548,49081.16170300095,2.646419648679089,2.6027389047062615
1.9737334992165607,3.5356340831199e-07,0.7252921927886681,0.7762904391333962,-0.0054831276361829535,-0.02178022377174312,1.0094807068842342,0.9276979198704554,0.7300422631928366,0.05771792099179353,0.062286284336380185,0.6952027243233351,92.53280765989282,35898.07690271546,26450.781131968986,46373.27419391515,2.7309188219212372,2.641822385864323
0.8674660251939708,4.716553668448541e-07,0.7404821590891996,0.7976704874543772,0.026872344699513207,-0.009528761396052085,1.0038899773046999,0.9324169480092943,0.8071184954799209,0.055879289256663155,0.04844583360389859,0.845092468337844,81.91010415420715,31579.87879010064,23244.087293775156,32242.646609790972,2.647105853114089,2.598436454620461
-0.21602219889743815,5.00310359568233e-07,0.6245832766351083,0.7725691150222369,-0.012853662163865229,-0.007999772697160776,0.9357602217417851,0.9270585197347927,0.7373700726166807,0.05719814423064157,0.06100588304558885,0.07023066537712035,66.70762440924354,25085.860293016514,18070.155555689464,35171.683385118245,2.5743841366037157,2.5515687878482627
-2.4991247593466532,4.636400345845912e-07,0.7708477102402211,0.945752508773698,0.0019374140087091124,-0.0010688617988594228,1.0462232676459948,0.9489109910104556,0.7182119148790936,0.07599851446106712,0.06570118999422454,0.9537742227403578,65.89111691735663,23770.548897785084,17758.790744982565,36515.10443369273,2.4866530360816017,2.375385273796652
2.3655117158370125,4.326236350129086e-07,0.8041635105300944,0.7944961862705837,-0.00433019129510789,0.010715788057354085,0.9826295417501995,0.95157139485517,0.7816679836156342,0.061438313141695754,0.04245866340843063,0.7030848082242395,95.84109484630993,40890.96525048457,29690.29848606787,33226.62226201367,2.7262377036949816,2.6900402593077675
0.7387686580107676,3.894280966737312e-07,0.7383422190491071,0.8280477235955165,0.0015679299445072433,0.006723949425080887,1.0941639484932537,0.9307392213009781,0.769283292854117,0.06373722043788976,0.061686615667247514,0.36607257562219603,89.77735432446711,32672.27552767442,24758.9356559101,42044.78543693728,2.646680117629772,2.584073859571965
-0.032997406264081104,5.055807113804663e-07,0.7686741342858042,0.8249481344453538,-0.0050108159017733635,-0.01064306150007733,0.988246271210137,0.9235135151639784,0.8117491734306518,0.06814653965552724,0.06473991345702244,0.7414164468458403,77.34198499702788,29754.071887872153,21436.49286158267,42021.03799168232,2.6049034946917184,2.541638851817072
0.939078247901099,4.351182880952834e-07,0.6071856666611805,0.8675617857070277,-0.005000462440943422,-0.03905799757427938,1.0617006648643081,0.9534627457340565,0.7735973553847791,0.06231425281568381,0.04912889323266811,0.6291615371744121,89.87309014006252,34225.44177091668,25422.35113240799,34612.236561448066,2.6505708390805327,2.6032520336899565
-0.1032168407839862,4.1468256810835447e-07,0.6961038066708894,0.8826135209848044,-0.010993838781657732,0.0212090382834267,0.9920542969465731,0.9443787358506076,0.8112643170179739,0.05866889284064141,0.047888824453548196,0.8424050756226372,74.18423922606664,28640.455677679063,21270.489280464575,29982.172831433763,2.5909382747788223,2.5476374477577046
0.17206633804612942,3.8418742470926815e-07,0.8467122605748962,0.9537887667626789,-0.020448774916942664,0.00215759876197652,1.0651072743758376,0.9268219112881898,0.7313152991035522,0.056119821565962666,0.06923268467620182,0.30742148282562487,77.7164530812992,30969.78434079518,23101.746676511448,44872.5106700478,2.6455917375684512,2.5243738400227573
0.8582350532899214,3.2119414635079916e-07,0.7572270824728525,0.7536632364257312,0.0002465157284101569,-0.0262411844313028,0.980868076139323,0.9570941348343356,0.7701802262240427,0.07039960998399386,0.05790743807691538,0.5094482037818416,91.0250156225592,35304.602884422486,25577.723265915272,43224.66212964353,2.6633258976490337,2.581558068251589
-0.3861919163171346,4.605635826379246e-07,0.7600167246681953,0.6806270767638593,-0.027296969124495883,0.006457946897080148,1.1587246580792792,0.9567195188524088,0.7654427789964345,0.05968874997699203,0.06600269195499431,0.7035145338736865,92.2465119437859,38814.00705292195,28557.82681742611,41704.66316178318,2.588383585529773,2.5190876830776476
-0.09667299907961895,4.004927233096201e-07,0.8807053451035706,0.775499061172358,-0.011566523938921797,0.0011480348114940924,1.205811465980629,0.9297381013921101,0.8107227918799549,0.07706448415158333,0.05296528958771887,0.6102069135070503,111.26864548238493,44602.81611871047,32184.397567125718,39261.95769796277,2.6589418498922908,2.4831798328771866
-1.8532844993567363,4.040268724330391e-07,0.9399135800699125,0.7927309626743425,-0.021117405092283815,-0.023882270363679046,1.0938927432220105,0.9217028414847093,0.7967666573333261,0.05464047599677339,0.049441082086044,0.500248220907182,111.24193735517288,42666.249292616005,31494.146027997635,40299.62842819452,2.80242261776827,2.174887152592537
2.409318986318928,4.052842980826742e-07,0.6120896170037314,0.7340574932840502,-0.00016426242013007898,0.010932172282373852,1.0537172701491395,0.9222417093129104,0.7795505375525281,0.0634427193967306,0.07495265830222944,0.12109595757752663,102.49834682435895,39821.19005962738,28997.764252644723,59492.696746062145,2.7584647309401245,2.663439903948533
-1.294716314369592,3.6239654396413665e-07,0.781875917598475,0.8340840780941154,0.004413825822405446,0.00863093760507157,1.0555856869387392,0.9562104040879066,0.7688059728335337,0.0632328987839213,0.04411428491295984,0.4988507500785762,77.22495178721385,31624.012046469463,23206.773975334767,26368.724599124496,2.546885544142478,2.4570072855456893
-0.696951966332859,4.059529789206396e-07,0.8706766274796437,0.7215189754172492,0.011740940854720204,0.009951531830888765,0.929510178339756,0.9453164232954241,0.7894123732581158,0.06762690880620874,0.0634477291152225,0.9495707180353214,80.98193645322439,30142.732116079824,22132.745762706876,44527.156416601065,2.638099001965394,2.438081833658188
-1.4626155818877478,3.4423851037692846e-07,0.6132491052120772,0.846146110496032,-0.005434328086467785,0.04310122892891677,1.170465343493815,0.9427311294547609,0.7658142393675147,0.06333241367373474,0.06271268562440548,0.0625214435611807,72.94679166941901,27382.240833522388,19971.17738087765,32712.26822271731,2.4886661552549425,2.49482699537577
1.7857049548908,3.879219786304184e-07,0.83120033905222,0.7814865342560867,0.0012836369716520267,-0.03608938946452566,1.1302478396771016,0.9365867259730604,0.7712104514481157,0.07467883305125253,0.05261164663035184,0.16950706992641168,110.44723934966274,42890.52863817086,31917.453419209018,41488.69835036039,2.708495701191556,2.6425917740229465
-0.4997560765130517,4.1074920431830934e-07,0.6208760042141306,0.8792700197306675,0.00656291076463934,0.012286169471284896,0.9056428990657487,0.938462864324459,0.7987870915034514,0.0573985035422622,0.07467576064425832,0.5376521351645802,60.47857605943366,22992.384211908357,17056.965060536488,43200.21581589761,2.55707740482485,2.5373093610682527
-0.8694472062683495,2.9717992556200044e-07,0.7662509804606417,0.899482035098565,-0.016115646516583985,-0.03976860130443828,1.0336532922490502,0.9474275857255169,0.7874573986309827,0.06389448971286296,0.06450139600523308,0.8638461067455196,73.84638348228988,27738.601670126638,20575.53623046059,39389.45313267525,2.562614225179006,2.4902839920351485
-0.5674699180677947,3.3610556881074164e-07,0.7694011156508803,0.716798728801681,0.004078935972332858,-0.011816517363545321,1.0410768369086416,0.9487986478292761,0.7205165858717862,0.0578626277201757,0.06573840835177303,0.8107186080440664,78.42035950317081,30238.622954259423,22090.057206311714,39827.63434845922,2.582313523709603,2.5050621377853974
0.17763497656037686,4.1684788631272275e-07,0.7701049527354248,0.7453515509558157,0.008785200717318442,-0.011118233646698188,0.9756341596005131,0.9264128481691666,0.7801805219231324,0.06256732888438914,0.05009258146033535,0.30307337324708433,78.95754620409359,32026.90714628201,23479.9639261664,32351.39738906279,2.6191345554336802,2.5504713888961024
-0.5082767700044876,4.964863308806496e-07,0.8711399231982078,0.9418377576903375,-0.013772788171741506,0.008236349673202715,1.0609197614792318,0.9531713660012815,0.7359204681660553,0.05675141171882673,0.053713975062274384,0.7366022793914166,82.14790339293648,32781.967388308294,24168.057999595443,36184.581895705545,2.6425787397523566,2.454297849239299
